Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
1900,-0.8545137754217049,-0.7546714673721069,-0.6548291593225086,-4.135466867685318,-3.3054971436659493,-2.4797265569368996
1901,-0.8498146236226303,-0.7505714400354495,-0.6513282564482689,-4.144350820779801,-3.3920521477858223,-2.609394554297129
1902,-0.8531268604492006,-0.7540846423224568,-0.655042424195713,-4.184337908029557,-3.4653177003065743,-2.7133171598116554
1903,-0.8759026123695781,-0.7785203972614947,-0.6811381821534114,-4.367336565256119,-3.5876207093397774,-2.8060202638308205
1904,-0.8778857164143812,-0.7813282567882831,-0.6847707971621854,-4.527406507730484,-3.7015800217787422,-2.862359527746836
1905,-0.8945089819013559,-0.7993613795091601,-0.7042137771169643,-4.470514112710953,-3.7800836304823555,-3.04214954773585
1906,-0.9233809061703186,-0.8290158984082325,-0.7346508906461463,-4.734063917398453,-3.8776368836561836,-3.0465731660525
1907,-0.9466374897498468,-0.8535935528341836,-0.7605496159185204,-4.700452142953873,-3.941369984547297,-3.205839161078135
1908,-0.948027782122046,-0.8572624264798581,-0.76649707083767,-4.8326929152011875,-3.9997567872206368,-3.1712966005007424
1909,-0.940883398259758,-0.8506450394013141,-0.7604066805428702,-4.90938168168068,-4.10797402660052,-3.3543226758639015
1910,-0.9062764921940443,-0.817148138236955,-0.7280197842798656,-4.93035107254982,-4.193000767628352,-3.4183247129122414
1911,-0.8849697752415806,-0.7955573962317051,-0.7061450172218293,-4.988045030832291,-4.198145840565363,-3.418624643484751
1912,-0.8958067981167983,-0.8056644627736238,-0.7155221274304494,-4.944515043497086,-4.19254205028216,-3.4242336789766945
1913,-0.9023905396121059,-0.8095506448551308,-0.7167107500981559,-4.854987913370133,-4.134297821919123,-3.4017369786898293
1914,-0.8968406999713989,-0.8006220061867675,-0.7044033124021359,-4.872010999917984,-4.030051205555598,-3.2170517484347023
1915,-0.8797235551136828,-0.7795973407076657,-0.6794711263016487,-4.7842686712741855,-4.004222844044367,-3.2082772294680275
1916,-0.8590149094334394,-0.7563529971648637,-0.6536910848962879,-4.742168718576432,-3.9688329438368477,-3.2066173593203224
1917,-0.8309662781911848,-0.7265001905441502,-0.6220341028971156,-4.731800371408463,-3.9472970704237618,-3.1454463044802345
1918,-0.8186434934049833,-0.7128557005547127,-0.6070679077044419,-4.742956930398941,-3.9498619774977364,-3.160447601477305
1919,-0.8041232461028407,-0.6979335041429198,-0.5917437621829986,-4.752469831705094,-3.9711942414442696,-3.207111362616221
1920,-0.8097300712176947,-0.7028804839824458,-0.5960308967471968,-4.728147321939469,-3.9582729081312813,-3.239262823263804
1921,-0.8190114266418365,-0.7119386192453101,-0.6048658118487836,-4.573597723245621,-3.9807738999525704,-3.3230187932650246
1922,-0.7883867854851806,-0.6822011684468374,-0.5760155514084941,-4.610870653390885,-3.9868001679579415,-3.369145635763804
1923,-0.7543105625212518,-0.6508397224392903,-0.547368882357329,-4.628398710489273,-4.029924843708674,-3.426871542135874
1924,-0.7299941827506854,-0.6290574449610415,-0.5281207071713975,-4.664993101358414,-4.022948716084162,-3.340759519735972
1925,-0.7345051125185806,-0.6357812860324348,-0.537057459546289,-4.610722833871842,-3.956851933399836,-3.2847116033236183
1926,-0.7186862195519901,-0.6236037472689342,-0.5285212749858784,-4.51398258805275,-3.872393105427424,-3.2252938787142433
1927,-0.7017800408387922,-0.6098758118231493,-0.5179715828075064,-4.4529932081699375,-3.820584271351496,-3.1643133203188576
1928,-0.6803652327317975,-0.59049916676126,-0.5006331007907223,-4.382692629098893,-3.748620961109797,-3.1087822953859963
1929,-0.6786579714414638,-0.590940552020303,-0.5032231325991422,-4.299383932352066,-3.7153038720289864,-3.063458446661631
1930,-0.6621751983209743,-0.577168014986351,-0.4921608316517273,-4.262174898386002,-3.677918885151545,-3.034405235449473
1931,-0.6510473819897022,-0.5695314106369791,-0.48801543928425606,-4.24702816605568,-3.645378086964289,-3.0637273828188576
1932,-0.6521345392772089,-0.5741999568013658,-0.49626537432552287,-4.205520921945572,-3.6072816590468086,-2.99424219528834
1933,-0.6289747183038417,-0.5531793424540241,-0.47738396660420646,-4.186200910806656,-3.562783692280451,-2.946541313330332
1934,-0.6061232871336675,-0.5337232597503203,-0.4613232323669729,-4.210243040323258,-3.548867199818293,-2.841659073034922
1935,-0.5681370088755511,-0.4985273131805447,-0.42891761748553847,-4.086107069253922,-3.4829201440016426,-2.9176063577334084
1936,-0.5432908314943148,-0.47325318893745366,-0.40321554638059254,-3.9946368277072906,-3.37889573375384,-2.7356982270876564
1937,-0.5382470575798893,-0.45910048709457435,-0.37995391660925937,-3.835094743967056,-3.2624277810255684,-2.675437215963999
1938,-0.5325727829535394,-0.44441371091544263,-0.356254638877346,-3.802238756418228,-3.140124295155207,-2.489437107245127
1939,-0.5098218392629454,-0.41153786232109973,-0.313253885379254,-3.638744646310806,-2.9975990990797676,-2.3556091825167336
1940,-0.48787092630854123,-0.37969366427607504,-0.27151640224360885,-3.4644177496433257,-2.865111563603083,-2.254630331198374
1941,-0.4732494810032606,-0.35477890532439066,-0.23630832964552065,-3.416000658273697,-2.7885915974775948,-2.164403204123179
1942,-0.4734932940578852,-0.3497080916836705,-0.22592288930945573,-3.259079748392105,-2.662941668430964,-2.0334024469057717
1943,-0.48469645959039354,-0.3569087534044381,-0.22912104721848256,-3.1013849318027495,-2.4978949765364327,-1.8747892419497172
1944,-0.4995794238762231,-0.3681548071209367,-0.23673019036565032,-2.9574478209018706,-2.377487633625666,-1.7764034310976664
1945,-0.5103167079287735,-0.37845531468142085,-0.24659392143406825,-2.9362376272678374,-2.367353651920954,-1.7971303502718607
1946,-0.5393874394615032,-0.40871107840678317,-0.2780347173520631,-3.0123670637607574,-2.3785335759321846,-1.7488412896792094
1947,-0.5381970761745609,-0.4186394091549806,-0.2990817421354002,-3.0423186361789702,-2.4298526982466377,-1.8159914056460063
1948,-0.5269694331288379,-0.4172445617541756,-0.30751969037951343,-3.154096895456314,-2.5341236333052315,-1.91096640030543
1949,-0.5090632986853703,-0.4101228947910423,-0.31118249089671446,-3.157756620645523,-2.593751643101374,-1.995314602057139
1950,-0.5244640870961828,-0.43620842934192267,-0.3479527715876627,-3.12635880112648,-2.510860655705134,-1.8987643758455912
1951,-0.5371787944931385,-0.4602482584931739,-0.3833177224932093,-3.0267828047275542,-2.4137367943922676,-1.782705310980479
1952,-0.5444956192920802,-0.47468353888062315,-0.40487145846916606,-2.9432728826999663,-2.3344166020552315,-1.727560285727183
1953,-0.5313734405223801,-0.46909647668787463,-0.40681951285336904,-2.9614236891269683,-2.333375666538874,-1.6645073930422465
1954,-0.5137675578735968,-0.45839360506562693,-0.403019652257657,-2.951847845315933,-2.3173386792341866,-1.6962463895479838
1955,-0.499396183305003,-0.448813863466269,-0.3982315436275349,-2.882790857553482,-2.320534680287043,-1.7424032727877299
1956,-0.48354707338665026,-0.43770038665211036,-0.39185369991757046,-2.8769257605075835,-2.2957067231337227,-1.6893184224764506
1957,-0.47559010199511653,-0.4335847285164461,-0.3915793550377755,-2.423625522851944,-2.244336817661921,-2.0060982743899025
1958,-0.4790279483348516,-0.44152562903449516,-0.4040233097341387,-1.8759217798709868,-1.762719843784968,-1.7785394231478373
1959,-0.4860319942131992,-0.4529692925234337,-0.4199065908336683,-2.180571609735489,-1.9664685467878977,-1.8242123166720072
1960,-0.5001309357763175,-0.4718809460518915,-0.4436309563274655,-1.85033660531044,-1.692939970890681,-1.625861410299937
1961,-0.49704529645601103,-0.47258874308332205,-0.44813218971063296,-1.654005581140518,-1.5053207616011302,-1.369868282477061
1962,-0.4829719545483355,-0.461160641692313,-0.4393493288362905,-1.5340116560459136,-1.3763997296492259,-1.3159723321596781
1963,-0.48897757106430806,-0.4693787798750411,-0.4497799886857742,-1.6949704229831695,-1.5098638276259104,-1.4001245538393656
1964,-0.5019954286681894,-0.4844787542909536,-0.46696207991371785,-1.7617974817752837,-1.7440798024336497,-1.582982305685679
1965,-0.4981455973785718,-0.48281494298471467,-0.46748428859085756,-1.755687528848648,-1.785560820500056,-1.757636312643687
1966,-0.49333710597568925,-0.4797768968911597,-0.46621668780663017,-1.6165915071964263,-1.7301118115584055,-1.8615214864412943
1967,-0.5107097589645948,-0.4983704323678751,-0.4860311057711554,-1.830793434381485,-1.8523199299971262,-1.8484232465426127
1968,-0.5121500098687485,-0.501347698167693,-0.49054538646663726,-2.139908844232559,-2.0572845677534737,-2.1501665155092873
1969,-0.5017461493957335,-0.4926737733433059,-0.48360139729087825,-2.0584905683994292,-1.989622567097346,-2.0244913140932717
1970,-0.48781931331014494,-0.4793408322216715,-0.4708623511331983,-1.9775045454502105,-1.9255394677321116,-1.8738393823305766
1971,-0.4775924696665437,-0.4699774662432134,-0.46236246281988314,-1.6969514429569243,-1.7141809205214182,-1.7176804582277934
1972,-0.48334162697394445,-0.4766751742509611,-0.4700087215279777,-1.5453305780887603,-1.6005396584669749,-1.5772182981173197
1973,-0.46127347792715145,-0.45461469121197656,-0.44795590449680167,-1.5754938662052154,-1.5246717671553294,-1.472553257147471
1974,-0.44340585135287824,-0.43722588429007775,-0.43104591722727725,-1.4945664942264556,-1.4273936490217844,-1.3404064218203227
1975,-0.42998344585772863,-0.4250033997456982,-0.4200233536336677,-1.1396825850009917,-1.1784956196943919,-1.1321314613024394
1976,-0.40109494975520776,-0.3968855363355715,-0.39267612291593534,-1.2976596891880035,-1.2170507649580637,-0.9629415313402812
1977,-0.35470511904130997,-0.35129105855278636,-0.34787699806426275,-1.1823025286197661,-1.0983037690321604,-0.9195386211077372
1978,-0.34204389193505014,-0.33848201613556883,-0.33492014033608764,-1.3225625097751617,-1.065815661350886,-0.8065115253130595
1979,-0.3245833427650694,-0.3210914903777689,-0.3175996379904684,-1.381403738260269,-1.1008348206679026,-0.6682914535204569
